,value
2013-09-30,44498.0
2013-12-31,44674.0
2014-03-31,45380.0
2014-06-30,46022.0
2014-09-30,46540.0
2014-12-31,47085.0
2015-03-31,47595.0
2015-06-30,47963.0
2015-09-30,48217.0
2015-12-31,48375.0
2016-03-31,48527.0
2016-06-30,48682.0
2016-09-30,49059.0
2016-12-31,49504.0
2017-03-31,50168.0
2017-06-30,50684.0
2017-09-30,51193.0
2017-12-31,51864.0
2018-03-31,52439.0
2018-06-30,52986.0
2018-09-30,53636.0
2018-12-31,54177.0
2019-03-31,55030.0
2019-06-30,55391.0
2019-09-30,55687.0
2019-12-31,56128.0
2020-03-31,56608.0
2020-06-30,60881.0
2020-09-30,59805.0
2020-12-31,59343.0
2021-03-31,66931.0
2021-06-30,63564.0
2021-09-30,63818.0
2021-12-31,64322.0
2022-03-31,64875.0
2022-06-30,65617.0
2022-09-30,66803.0
2022-12-31,67733.0
2023-03-31,68780.0
2023-06-30,69694.0
2023-09-30,70339.0
2023-12-31,71047.0
2024-03-31,72201.0
2024-06-30,72980.0
2024-09-30,73483.0
2024-12-31,74258.0
2025-03-31,75334.0
2025-06-30,76034.0
2025-09-30,76772.0
2025-12-31,77391.0
