,value
2013-09-30,11896.258
2013-12-31,12001.027
2014-03-31,12044.203
2014-06-30,12159.899
2014-09-30,12280.086
2014-12-31,12421.595
2015-03-31,12516.902
2015-06-30,12603.053
2015-09-30,12691.79
2015-12-31,12743.411
2016-03-31,12839.618
2016-06-30,12903.306
2016-09-30,12993.064
2016-12-31,13060.061
2017-03-31,13160.475
2017-06-30,13225.743
2017-09-30,13315.382
2017-12-31,13460.902
2018-03-31,13558.373
2018-06-30,13630.967
2018-09-30,13693.79
2018-12-31,13736.572
2019-03-31,13758.331
2019-06-30,13875.705
2019-09-30,14033.222
2019-12-31,14125.274
2020-03-31,13887.048
2020-06-30,12685.319
2020-09-30,13813.706
2020-12-31,14001.366
2021-03-31,14319.617
2021-06-30,14820.014
2021-09-30,14943.244
2021-12-31,15086.862
2022-03-31,15100.85
2022-06-30,15224.357
2022-09-30,15295.828
2022-12-31,15326.248
2023-03-31,15495.754
2023-06-30,15553.719
2023-09-30,15671.906
2023-12-31,15789.717
2024-03-31,15857.704
2024-06-30,16009.637
2024-09-30,16165.768
2024-12-31,16320.89
2025-03-31,16345.793
2025-06-30,16445.685
2025-09-30,16585.878
2025-12-31,16667.027
