date,hpi_actual,hpi_forecast,hpi_lower_90,hpi_upper_90,hpi_lower_50,hpi_upper_50
2025-03-31,,691.7993825641315,683.7707615004555,699.8280036278076,688.5071609786193,695.0916041496438
2025-06-30,,699.9031330355036,688.5489482400986,711.2573178309086,695.2472286189346,704.5590374520726
2025-09-30,,709.2346639341424,695.3286843371378,723.140643531147,703.5323688782602,714.9369589900247
2025-12-31,,719.2225303981322,703.1652882707801,735.2797725254843,712.6380872271076,725.8069735691569
2026-03-31,,729.5553927317491,711.6028502677829,747.5079351957153,722.1937614695514,736.9170239939467
2026-06-30,,740.0660445461123,720.4000196019449,759.7320694902796,732.0017815414305,748.130307550794
2026-09-30,,750.6693974938419,729.4276627885803,771.9111321991035,741.9589979176576,759.3797970700261
2026-12-31,,761.3275619836706,738.6191923928608,784.0359315744805,752.0157531505328,770.6393708168085
2027-03-31,,772.0294990386437,747.9436358476156,796.1153622296719,762.1528342821068,781.9061637951806
2027-06-30,,782.779015221392,757.390286189772,808.167744253012,772.3680964492023,793.1899339935817
2027-09-30,,793.5876815828835,766.9597579307261,820.2156052350409,782.6686178570303,804.5067453087368
2027-12-31,,804.4706932866227,776.6587340926136,832.2826524806318,793.0661031748581,815.8752833983873
2028-03-31,,815.4444903833327,786.4968854669785,844.3920952996868,803.5742166465786,827.3147641200867
2028-06-30,,826.5254311516264,796.4850818431141,856.5657804601387,814.2070659372977,838.8437963659552
2028-09-30,,837.7290908946895,806.6343752220622,868.8238065673169,824.9783715219758,850.4798102674033
2028-12-31,,849.0699287024667,816.9554444477626,881.1844129571707,835.9010423604175,862.2388150445158
2029-03-31,,860.5611672193841,827.458314545789,893.6640198929791,846.9869898793784,874.1353445593898
2029-06-30,,872.2147924853697,838.1522380991548,906.2773468715845,858.2470792356628,886.1825057350766
2029-09-30,,884.0416184301793,849.0456705576335,919.037566302725,869.6911572391879,898.3920796211706
2029-12-31,,896.0513832612719,860.1462983333394,931.9564681892044,881.3281207368766,910.7746457856672
2030-03-31,,908.2528586468895,871.4610948964773,945.0446223973017,893.1660040267119,923.3397132670672
2030-06-30,,920.6539608066756,882.9963900399592,958.311531573392,905.2120727971578,936.0958488161934
2030-09-30,,933.2618575334468,894.7579435475368,971.7657715193568,917.4729174719163,949.0507975949773
2030-12-31,,946.083068085988,906.7510181976531,985.4151179743228,929.9545420766244,962.2115940953515
2031-03-31,,959.1235546046813,918.9804492863012,999.2666599230614,942.6624466771198,975.5846625322429
2031-06-30,,972.3888046885742,931.4507092176481,1013.3269001595003,955.6017025809756,989.1759067961727
2031-09-30,,985.8839053243325,944.1659665333189,1027.6018441153462,968.7770201566857,1002.9907904919794
2031-12-31,,999.6136086500188,957.1301392394955,1042.0970780605421,982.1928094976502,1017.0344078023875
2032-03-31,,1013.5823901759027,970.3469425739758,1056.8178377778295,995.8532343563132,1031.311545995492
2032-06-30,,1027.7945001345586,983.8199315121938,1071.7690687569234,1009.7622598676535,1045.8267404014637
