date,hpi_actual,hpi_forecast,hpi_lower_90,hpi_upper_90,hpi_lower_50,hpi_upper_50
2025-03-31,,698.6594635007358,688.4469166238238,708.8720103776478,694.4716998730137,702.8472271284579
2025-06-30,,711.5071389668265,697.0644166671266,725.9498612665263,705.5847468484891,717.4295310851638
2025-09-30,,724.4752728962468,706.7866228307564,742.1639229617372,717.2218535229432,731.7286922695504
2025-12-31,,737.5661349954222,717.1410412415983,757.9912287492461,729.190607739978,745.9416622508664
2026-03-31,,750.7820185815166,727.9460695413381,773.617967621695,741.4178944362288,760.1461427268043
2026-06-30,,764.1252409891953,739.1097121665069,789.1407698118836,753.8673569378896,774.383125040501
2026-09-30,,777.5981439819383,750.5782846930398,804.6180032708368,766.518362873464,788.6779250904126
2026-12-31,,791.2030941679735,762.3176495685736,820.0885387673734,779.3583099312988,803.0478784046483
2027-03-31,,804.9424834209083,774.3048427901723,835.5801240516442,792.379192537742,817.5057743040745
2027-06-30,,818.8187293051316,786.5238204628504,851.1136381474128,805.5758579391203,832.0616006711429
2027-09-30,,832.8342755060643,798.9630893614313,866.7054616506972,818.9450348422125,846.723516169916
2027-12-31,,846.991592265335,811.6142921343542,882.3688923963159,832.4847535187278,861.4984310119423
2028-03-31,,861.2931768209588,824.471315403173,898.1150382387447,846.1939803316837,876.3923733102339
2028-06-30,,875.7415538525971,837.5297023928242,913.95340531237,860.0723771408675,891.4107305643267
2028-09-30,,890.3392759319804,850.7862519553377,929.8922999086232,874.1201371439596,906.5584147200012
2028-12-31,,905.0889239785736,864.2387364709256,945.9391114862216,888.3378694676852,921.8399784894619
2029-03-31,,919.9931077205653,877.8856982404853,962.1005172006452,902.7265159483472,937.2596994927833
2029-06-30,,935.0544661612646,891.7262992621648,978.3826330603644,917.2872898062526,952.8216425162766
2029-09-30,,950.2756680509902,905.760208258359,994.7911278436216,932.0216295983143,968.5297065036661
2029-12-31,,965.6594123645333,919.9875142841765,1011.33131044489,946.9311640739578,984.3876606551088
2030-03-31,,981.2084287842849,934.4086596825508,1028.008197886019,962.0176849676656,1000.3991726009043
2030-06-30,,996.9254781891105,949.024387369707,1044.826569008514,977.2831256712275,1016.5678307069936
2030-09-30,,1012.813353149062,963.8356989034586,1061.7910073946655,992.72954433105,1032.897161967074
2030-12-31,,1028.8748784260156,978.843820780639,1078.9059360713923,1008.3591103234041,1049.390646528627
2031-03-31,,1045.1129114803264,994.0501770957665,1096.1756458648863,1024.174093341716,1066.0517296189369
2031-06-30,,1061.53034298359,1009.4563671747346,1113.6043187924452,1040.1768545275208,1082.883831439659
2031-09-30,,1078.1300973376044,1025.0641471411332,1131.1960475340757,1056.3698392176934,1099.8903554575154
2031-12-31,,1094.915133199625,1040.875414621828,1148.954851777422,1072.7555709826763,1117.0746954165736
2032-03-31,,1111.8884440140089,1056.892195981251,1166.8846920467668,1089.336646705402,1134.4402413226157
2032-06-30,,1129.0530585503425,1073.1166356097062,1184.9894814909787,1106.1157325063118,1151.9903845943732
2032-09-30,,1146.4120414481517,1089.5509868931501,1203.2730960031533,1123.095560361765,1169.7285225345386
2032-12-31,,1163.9684937682916,1106.197604569492,1221.7393829670914,1140.2789252949422,1187.6580622416411
2033-03-31,,1181.725553551115,1123.0589382359876,1240.3921688662422,1157.668683042772,1205.7824240594578
2033-06-30,,1199.6863963815217,1140.1375268183954,1259.235265944648,1175.2677481212913,1224.105044641752
2033-09-30,,1217.8542359609921,1157.4359938485359,1278.2724780734484,1193.0790922266256,1242.6293796953587
2033-12-31,,1236.2323246867043,1174.9570434252323,1297.5076059481762,1211.1057429203718,1261.3589064530368
2034-03-31,,1254.8239542378424,1192.703456756048,1316.9444517196368,1229.3507825573886,1280.2971259182962
2034-06-30,,1273.632456169204,1210.6780891951908,1336.5868231432173,1247.8173474213497,1299.4475649170583
2034-09-30,,1292.6612025122095,1228.8838677073443,1356.4385373170746,1266.5086270393194,1318.8137779850995
2034-12-31,,1311.913606383425,1247.3237886988627,1376.5034240679875,1285.4278636514025,1338.3993491154476
