date,hpi_actual,hpi_forecast,hpi_lower_90,hpi_upper_90,hpi_lower_50,hpi_upper_50
2025-03-31,,694.2960368061841,497.754415131298,890.8376584810703,613.7020513387235,774.8900222736447
2025-06-30,,703.1941894979361,425.2423625545103,981.146016441362,589.2170822041533,817.171296791719
2025-09-30,,707.1645899219266,366.7445153790433,1047.5846644648097,567.5717123078172,846.757467536036
2025-12-31,,709.8355292395782,316.752285889806,1102.9187725893505,548.6475583046571,871.0235001744994
2026-03-31,,714.7338301174781,275.2534036443866,1154.2142565905697,534.5202000346061,894.9474602003501
2026-06-30,,719.0472944524033,237.62060812979786,1200.4739807750088,521.6331537198421,916.4614351849646
2026-09-30,,720.670397884347,200.67014465925627,1240.6706511094378,507.43875516989266,933.9020405988015
2026-12-31,,721.860711693365,165.95705780651338,1277.7643655802167,493.9064971057993,949.8149262809308
2027-03-31,,723.8819778621327,134.2571128374742,1313.5068428867912,482.10002145975096,965.6639342645144
2027-06-30,,725.1179350496055,103.5987555338478,1346.6371145653634,470.25737526191995,979.9784948372911
2027-09-30,,724.9530685596011,73.09825377602158,1376.8078833431805,457.6530584046785,992.2530787145237
2027-12-31,,724.6842178633497,43.844068777583175,1405.524366949116,445.4984626351308,1003.8699730915685
2028-03-31,,724.7162420429623,16.07534733131581,1433.3571367546087,434.13049494603365,1015.301989139891
2028-06-30,,724.2041192857301,-11.187291262636904,1459.5955298340973,422.6490382318546,1025.7592003396057
2028-09-30,,723.0485020046667,-38.15392557876601,1484.2509295880996,410.90933848470934,1035.1876655246242
2028-12-31,,721.9462970525979,-64.22018964694666,1508.1127837521424,399.5703551827556,1044.3222389224402
2029-03-31,,720.9902579194534,-89.37160807628754,1531.3521239151942,388.6927430476187,1053.287772791288
2029-06-30,,719.7730366810748,-114.08244414920262,1553.6285175113521,377.8417147997263,1061.7043585624233
2029-09-30,,718.355422013691,-138.3496450667409,1575.060489094123,367.0543839038447,1069.6564601235373
2029-12-31,,717.0967046910843,-161.8641482550987,1596.057557637267,356.6694445253402,1077.5239648568283
2030-03-31,,716.0607395991376,-184.60611893540147,1616.7275981336766,346.7327006363286,1085.3887785619465
2030-06-30,,715.0578500532777,-206.80406971186244,1636.9197698184178,337.0385504697201,1093.0771496368352
