date,hpi_actual,hpi_forecast,hpi_lower_90,hpi_upper_90,hpi_lower_50,hpi_upper_50
2025-03-31,,642.8719349277942,634.3821886009177,651.3616812546707,639.390624016345,646.3532458392434
2025-06-30,,694.4293295196951,682.4230151231193,706.4356439162709,689.5060124138862,699.352646625504
2025-09-30,,749.8564732287708,735.1518012472495,764.5611452102921,743.8266658531968,755.8862806043448
2025-12-31,,707.7649704913023,690.7854778375494,724.7444631450552,700.8023486684039,714.7275923142007
2026-03-31,,762.7168522392325,743.7332023406076,781.7005021378574,754.9324043904203,770.5013000880447
2026-06-30,,821.8275034371177,801.0319568906027,842.6230499836327,813.3000680680836,830.3549388061517
2026-09-30,,780.8239635606878,758.3622060857487,803.285721035627,771.6132806524976,790.0346464688781
2026-12-31,,839.5917998194182,815.5791710262665,863.6044286125698,829.7451656078002,849.4384340310361
2027-03-31,,902.8436761750486,877.3744371944192,928.312915155678,892.399743440701,913.2876089093962
2027-06-30,,863.064615574229,836.2176804242511,889.911550724207,852.0557438508528,874.0734872976053
2027-09-30,,926.1226891168827,897.9653859853356,954.2799922484298,914.5764870450355,937.66889118873
2027-12-31,,994.0308408432487,964.6214968802062,1023.4401848062912,981.9712260921008,1006.0904555943966
2028-03-31,,955.6297830676411,925.0195673704061,986.2399987648762,943.0777380705787,968.1818280647036
2028-06-30,,1023.5117766333258,991.7460545775316,1055.27749868912,1010.485903945845,1036.5376493208064
2028-09-30,,1096.6557359574283,1063.7750898199101,1129.5363820949465,1083.1726767744153,1110.1387951404413
2028-12-31,,1059.8053389279528,1025.846353620447,1093.7643242354586,1045.880095282156,1073.7305825737496
2029-03-31,,1133.111743021456,1098.107622181045,1168.1158638618672,1118.7579304179355,1147.4655556249766
2029-06-30,,1212.1435674142324,1176.124624224505,1248.1625106039598,1197.3736160968056,1226.9135187316592
2029-09-30,,1177.038016139866,1140.0320698447158,1214.043962435016,1161.8633336858134,1192.2126985939185
2029-12-31,,1256.4444628491858,1218.477163051936,1294.4117626464356,1240.8755671515614,1272.0133585468102
