rank	experiment_id	model_class	champion_eligible	best_trial_id	best_commit	gof_composite	gof_insample	gof_val_near	gof_val_far	rmse_1yr	rmse_3yr	n_params	n_trials	description
1	20260329_xgboost_300	XGBoost	True	20260329_xgboost_300_034		0.565112281218815	0.8869442992136412	0.298727806405034	0.0385321952773106	25.552467804469934	110.28341409953148	10	74	XGBoost n_estimators=500 learning_rate=0.1 max_depth=2 subsample=0.8 colsample_bytree=0.8 lags=[1, 4, 8] with no exogenous variables
2	20260329_xgboost_finalize	XGBoost	True	20260329_xgboost_finalize_001		0.565112281218815	0.8869442992136412	0.298727806405034	0.0385321952773106	25.552467804469934	110.28341409953148	10	1	XGBoost n_estimators=500 learning_rate=0.1 max_depth=2 subsample=0.8 colsample_bytree=0.8 lags=[1, 4, 8] with no exogenous variables
3	20260329_gradient_boosting_300	Gradient Boosting	True	20260329_gradient_boosting_300_067		0.5604065322595904	0.987694481958824	0.244401380124876	-0.0236338460065286	27.531976290810142	117.4140566859586	9	107	Gradient Boosting n_estimators=500 learning_rate=0.05 max_depth=3 min_samples_leaf=1 lags=[1, 2, 4, 8] with no exogenous variables
4	20260329_residual_hybrid_vecm_xgboost	Residual Hybrid	True	20260329_residual_hybrid_vecm_xgboost_001		0.552612281218815	0.8869442992136412	0.298727806405034	0.0385321952773106	25.552467804469934	110.28341409953148	20	1	VECM + XGBoost residual correction
5	20260329_residual_hybrid_learned_vecm_xgboost	Residual Hybrid	True	20260329_residual_hybrid_learned_vecm_xgboost_001		0.5454610898544491	0.9728818159675514	0.1763977305646336	0.0471277184653785	30.00984591382584	109.29748026119016	20	1	VECM + XGBoost learned residual correction
6	20260329_transformer_300	Transformer	True	20260329_transformer_300_030		0.4393197684440471	0.3697088134731251	0.6267593180189699	0.1471365449877174	13.599884034682104	97.82614989027628	8	70	Transformer lookback=8 model_dim=16 num_heads=2 num_layers=2 feedforward_dim=32 epochs=75 learning_rate=0.01 with mortgage_rate, unemployment_rate
7	20260329_random_forest_300	Random Forest	True	20260329_random_forest_300_017		0.3916128248879453	0.6694943398874333	0.2281442385391772	-0.0402359637049338	28.12434269397771	119.3183723708613	6	57	Random Forest n_estimators=200 max_depth=None min_samples_leaf=1 lags=[1, 4, 8] with no exogenous variables
8	20260329_nbeats_300	N-BEATS	True	20260329_nbeats_300_030		0.3875415766246903	0.7081246363084686	0.1846139442497736	-0.068821055907452	29.71046924156976	122.5971733301434	7	69	N-BEATS lookback=8 stack_width=32 n_blocks=3 n_layers=2 epochs=75 learning_rate=0.01 with mortgage_rate, unemployment_rate
9	20260329_lstm_gru_300	LSTM / GRU	True	20260329_lstm_gru_300_062		0.3591547843075496	0.1308870917350477	0.6139557008217962	0.1683252377282352	14.06641332131242	95.39573946545268	8	79	GRU lookback=8 hidden_size=16 num_layers=2 epochs=75 learning_rate=0.01 with mortgage_rate, unemployment_rate
10	20260329_tcn_300	TCN	True	20260329_tcn_300_029		0.3450891695257084	0.2560616819645751	0.4987418909607003	0.231810010468666	18.264493886882853	88.11383418816999	7	80	TCN lookback=8 channels=16 num_blocks=2 kernel_size=2 epochs=75 learning_rate=0.01 with mortgage_rate, unemployment_rate
11	20260325_vecm_refine_20	VECM	True	20260325_vecm_refine_20_002		0.2455698896713302	0.3037055316301553	0.1903306277508115	0.0498130487098938	29.502168709418633	108.98946434438544	10	20	VECM(k_ar_diff=1) deterministic=co with building_permits
12	20260325_vecm_refine2_20	VECM	True	20260325_vecm_refine2_20_001		0.2455698896713302	0.3037055316301553	0.1903306277508115	0.0498130487098938	29.502168709418633	108.98946434438544	10	20	VECM(k_ar_diff=1) deterministic=co with building_permits
13	20260325_vecm_60	VECM	True	20260325_vecm_60_016		0.2345571216970301	0.2909827069190299	0.2726626274973175	-0.0706747601865089	26.50221264098324	122.8097991046323	9	60	VECM(k_ar_diff=1) deterministic=ci with building_permits
14	20260330_ets_300	ETS	True	20260330_ets_300_003		0.1820221551653961	0.2618153371402879	0.2082859046209866	-0.1929158642759842	28.84792683538465	136.83124239796425	5	3	ETS(error=add, trend=add, damped_trend=True)
15	20260325_var_refine2_20	VAR	True	20260325_var_refine2_20_001		0.1573103711059332	0.4461754572582451	-0.0199450599957171	-0.5389713831035368	37.164047777604345	176.52491065895677	20	20	VAR(4) trend=ct with term_spread
