date,hpi_actual,hpi_forecast,hpi_lower_90,hpi_upper_90,hpi_lower_50,hpi_upper_50
2025-03-31,,696.0507018128311,685.8845617485188,706.2168418771435,691.8819677929263,700.2194358327359
2025-06-30,,706.3004020952916,691.8003455821917,720.8004586083915,700.3544994720435,712.2463047185397
2025-09-30,,716.6805518049694,698.7661512239923,734.5949523859464,709.3345610281668,724.0265425817719
2025-12-31,,727.1926213959734,706.3217178518437,748.0635249401032,718.6342850873883,735.7509577045586
2026-03-31,,737.8381010217495,714.2906987463635,761.3855032971354,728.1822378991883,747.4939641443107
2026-06-30,,748.6185007409271,722.5838218811787,774.6531796006755,737.9427033612585,759.2942981205956
2026-09-30,,759.5353507262266,731.1489065823315,787.9217948701217,747.8951869415279,771.1755145109254
2026-12-31,,770.5902014764515,739.9526359323904,801.2277670205126,758.0269413833761,783.1534615695269
2027-03-31,,781.7846240315951,748.972445433034,814.5968026301562,768.3296406922261,795.239607370964
2027-06-30,,793.1202101910893,758.1924128164943,828.0480075656843,778.7976948377004,807.4427255444782
2027-09-30,,804.5985727352245,767.60097337974,841.5961720907089,789.4273130326907,819.7698324377583
2027-12-31,,816.2213456497688,777.1895583485622,855.2531329509753,800.21594551256,832.2267457869775
2028-03-31,,827.9901843538183,786.9517378142529,869.0286308933838,811.161932221616,844.8184364860207
2028-06-30,,839.9067659309076,796.8826569885694,882.9308748732458,822.2642717797955,857.5492600820196
2028-09-30,,851.9727893634099,806.9786516875793,896.9669270392405,833.5224639460015,870.4231147808183
2028-12-31,,864.189975770262,817.2369779510329,911.142973589491,844.9363988858896,883.4435526546343
2029-03-31,,876.5600686480412,827.6556169224083,925.4645203736742,856.5062773030734,896.6138599930091
2029-06-30,,889.0848341154311,838.2331308579152,939.9365373729471,868.2325515383023,909.9371166925599
2029-09-30,,901.7660611611049,848.9685547794295,954.5635675427802,880.1158812868302,923.4162410353795
2029-12-31,,914.6055618950631,859.8613135445032,969.3498102456231,892.157099740363,937.0540240497633
2030-03-31,,927.6051718034589,870.9111574065141,984.2991862004037,904.3571873131426,950.8531562937752
2030-06-30,,940.7667500069433,882.1181112671206,999.415388746766,916.7172509847849,964.8162490291018
2030-09-30,,954.092179522569,893.4824342310061,1014.701924814132,929.2385078697779,978.9458511753602
2030-12-31,,967.5833675292857,905.0045870243923,1030.1621480341792,941.9222720137234,993.2444630448481
2031-03-31,,981.2422456370645,916.6852054946795,1045.7992857794493,954.7699436853478,1007.7145475887811
2031-06-30,,995.0707701596872,928.5250788687796,1061.6164614505947,967.783000622031,1022.3585396973434
2031-09-30,,1009.0709223912394,940.5251317759073,1077.6167130065714,980.9629908211725,1037.1788539613062
